tab 	magic_measurements
er_citation_names	magic_method_codes	magic_software_packages	measurement_number	measurement_standard	measurement_temp	er_sample_name	treatment_temp	magic_instrument_codes	er_location_name	measurement_flag	magic_experiment_name	er_site_name	er_specimen_name	treatment_dc_field	measurement_magn_moment	er_scientist_mail_names	measurement_lab_field_dc
This study	LP-HYS	pmagpy-1.57b	19	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.555e-08		4.291e-01
This study	LP-HYS	pmagpy-1.57b	20	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.551e-08		4.251e-01
This study	LP-HYS	pmagpy-1.57b	21	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.560e-08		4.211e-01
This study	LP-HYS	pmagpy-1.57b	22	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.561e-08		4.171e-01
This study	LP-HYS	pmagpy-1.57b	23	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.564e-08		4.131e-01
This study	LP-HYS	pmagpy-1.57b	24	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.562e-08		4.091e-01
This study	LP-HYS	pmagpy-1.57b	25	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.565e-08		4.050e-01
This study	LP-HYS	pmagpy-1.57b	26	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.571e-08		4.010e-01
This study	LP-HYS	pmagpy-1.57b	27	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.568e-08		3.971e-01
This study	LP-HYS	pmagpy-1.57b	28	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.570e-08		3.931e-01
This study	LP-HYS	pmagpy-1.57b	29	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.576e-08		3.891e-01
This study	LP-HYS	pmagpy-1.57b	30	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.574e-08		3.851e-01
This study	LP-HYS	pmagpy-1.57b	31	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.576e-08		3.811e-01
This study	LP-HYS	pmagpy-1.57b	32	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.580e-08		3.771e-01
This study	LP-HYS	pmagpy-1.57b	33	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.579e-08		3.731e-01
This study	LP-HYS	pmagpy-1.57b	34	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.578e-08		3.691e-01
This study	LP-HYS	pmagpy-1.57b	35	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.578e-08		3.651e-01
This study	LP-HYS	pmagpy-1.57b	36	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.582e-08		3.611e-01
This study	LP-HYS	pmagpy-1.57b	37	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.580e-08		3.571e-01
This study	LP-HYS	pmagpy-1.57b	38	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.579e-08		3.531e-01
This study	LP-HYS	pmagpy-1.57b	39	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.581e-08		3.491e-01
This study	LP-HYS	pmagpy-1.57b	40	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.581e-08		3.451e-01
This study	LP-HYS	pmagpy-1.57b	41	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.577e-08		3.411e-01
This study	LP-HYS	pmagpy-1.57b	42	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.581e-08		3.371e-01
This study	LP-HYS	pmagpy-1.57b	43	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.581e-08		3.331e-01
This study	LP-HYS	pmagpy-1.57b	44	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.573e-08		3.291e-01
This study	LP-HYS	pmagpy-1.57b	45	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.578e-08		3.251e-01
This study	LP-HYS	pmagpy-1.57b	46	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.580e-08		3.211e-01
This study	LP-HYS	pmagpy-1.57b	47	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.575e-08		3.171e-01
This study	LP-HYS	pmagpy-1.57b	48	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.574e-08		3.131e-01
This study	LP-HYS	pmagpy-1.57b	49	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.575e-08		3.091e-01
This study	LP-HYS	pmagpy-1.57b	50	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.566e-08		3.051e-01
This study	LP-HYS	pmagpy-1.57b	51	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.564e-08		3.011e-01
This study	LP-HYS	pmagpy-1.57b	52	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.560e-08		2.971e-01
This study	LP-HYS	pmagpy-1.57b	53	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.561e-08		2.931e-01
This study	LP-HYS	pmagpy-1.57b	54	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.562e-08		2.891e-01
This study	LP-HYS	pmagpy-1.57b	55	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.553e-08		2.851e-01
This study	LP-HYS	pmagpy-1.57b	56	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.550e-08		2.811e-01
This study	LP-HYS	pmagpy-1.57b	57	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.544e-08		2.771e-01
This study	LP-HYS	pmagpy-1.57b	58	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.541e-08		2.731e-01
This study	LP-HYS	pmagpy-1.57b	59	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.538e-08		2.691e-01
This study	LP-HYS	pmagpy-1.57b	60	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.534e-08		2.651e-01
This study	LP-HYS	pmagpy-1.57b	61	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.527e-08		2.611e-01
This study	LP-HYS	pmagpy-1.57b	62	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.524e-08		2.571e-01
This study	LP-HYS	pmagpy-1.57b	63	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.519e-08		2.531e-01
This study	LP-HYS	pmagpy-1.57b	64	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.505e-08		2.491e-01
This study	LP-HYS	pmagpy-1.57b	65	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.505e-08		2.451e-01
This study	LP-HYS	pmagpy-1.57b	66	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.495e-08		2.411e-01
This study	LP-HYS	pmagpy-1.57b	67	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.491e-08		2.371e-01
This study	LP-HYS	pmagpy-1.57b	68	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.479e-08		2.331e-01
This study	LP-HYS	pmagpy-1.57b	69	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.469e-08		2.291e-01
This study	LP-HYS	pmagpy-1.57b	70	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.466e-08		2.251e-01
This study	LP-HYS	pmagpy-1.57b	71	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.458e-08		2.211e-01
This study	LP-HYS	pmagpy-1.57b	72	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.446e-08		2.171e-01
This study	LP-HYS	pmagpy-1.57b	73	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.435e-08		2.131e-01
This study	LP-HYS	pmagpy-1.57b	74	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.427e-08		2.091e-01
This study	LP-HYS	pmagpy-1.57b	75	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.414e-08		2.051e-01
This study	LP-HYS	pmagpy-1.57b	76	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.400e-08		2.011e-01
This study	LP-HYS	pmagpy-1.57b	77	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.392e-08		1.971e-01
This study	LP-HYS	pmagpy-1.57b	78	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.378e-08		1.931e-01
This study	LP-HYS	pmagpy-1.57b	79	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.362e-08		1.891e-01
This study	LP-HYS	pmagpy-1.57b	80	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.344e-08		1.851e-01
This study	LP-HYS	pmagpy-1.57b	81	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.333e-08		1.811e-01
This study	LP-HYS	pmagpy-1.57b	82	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.318e-08		1.771e-01
This study	LP-HYS	pmagpy-1.57b	83	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.302e-08		1.731e-01
This study	LP-HYS	pmagpy-1.57b	84	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.284e-08		1.691e-01
This study	LP-HYS	pmagpy-1.57b	85	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.266e-08		1.651e-01
This study	LP-HYS	pmagpy-1.57b	86	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.246e-08		1.611e-01
This study	LP-HYS	pmagpy-1.57b	87	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.225e-08		1.571e-01
This study	LP-HYS	pmagpy-1.57b	88	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.206e-08		1.531e-01
This study	LP-HYS	pmagpy-1.57b	89	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.182e-08		1.491e-01
This study	LP-HYS	pmagpy-1.57b	90	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.160e-08		1.451e-01
This study	LP-HYS	pmagpy-1.57b	91	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.136e-08		1.411e-01
This study	LP-HYS	pmagpy-1.57b	92	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.110e-08		1.371e-01
This study	LP-HYS	pmagpy-1.57b	93	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.079e-08		1.331e-01
This study	LP-HYS	pmagpy-1.57b	94	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.054e-08		1.291e-01
This study	LP-HYS	pmagpy-1.57b	95	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		3.023e-08		1.251e-01
This study	LP-HYS	pmagpy-1.57b	96	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.994e-08		1.211e-01
This study	LP-HYS	pmagpy-1.57b	97	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.963e-08		1.171e-01
This study	LP-HYS	pmagpy-1.57b	98	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.933e-08		1.131e-01
This study	LP-HYS	pmagpy-1.57b	99	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.889e-08		1.091e-01
This study	LP-HYS	pmagpy-1.57b	100	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.859e-08		1.051e-01
This study	LP-HYS	pmagpy-1.57b	101	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.821e-08		1.011e-01
This study	LP-HYS	pmagpy-1.57b	102	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.783e-08		9.713e-02
This study	LP-HYS	pmagpy-1.57b	103	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.736e-08		9.311e-02
This study	LP-HYS	pmagpy-1.57b	104	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.698e-08		8.911e-02
This study	LP-HYS	pmagpy-1.57b	105	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.652e-08		8.512e-02
This study	LP-HYS	pmagpy-1.57b	106	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.603e-08		8.112e-02
This study	LP-HYS	pmagpy-1.57b	107	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.547e-08		7.712e-02
This study	LP-HYS	pmagpy-1.57b	108	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.498e-08		7.312e-02
This study	LP-HYS	pmagpy-1.57b	109	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.445e-08		6.911e-02
This study	LP-HYS	pmagpy-1.57b	110	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.388e-08		6.513e-02
This study	LP-HYS	pmagpy-1.57b	111	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.324e-08		6.113e-02
This study	LP-HYS	pmagpy-1.57b	112	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.260e-08		5.714e-02
This study	LP-HYS	pmagpy-1.57b	113	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.194e-08		5.315e-02
This study	LP-HYS	pmagpy-1.57b	114	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.123e-08		4.914e-02
This study	LP-HYS	pmagpy-1.57b	115	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.047e-08		4.513e-02
This study	LP-HYS	pmagpy-1.57b	116	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		1.967e-08		4.114e-02
This study	LP-HYS	pmagpy-1.57b	117	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		1.883e-08		3.714e-02
This study	LP-HYS	pmagpy-1.57b	118	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		1.794e-08		3.316e-02
This study	LP-HYS	pmagpy-1.57b	119	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		1.700e-08		2.913e-02
This study	LP-HYS	pmagpy-1.57b	120	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		1.596e-08		2.515e-02
This study	LP-HYS	pmagpy-1.57b	121	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		1.494e-08		2.115e-02
This study	LP-HYS	pmagpy-1.57b	122	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		1.378e-08		1.715e-02
This study	LP-HYS	pmagpy-1.57b	123	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		1.256e-08		1.316e-02
This study	LP-HYS	pmagpy-1.57b	124	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		1.123e-08		9.158e-03
This study	LP-HYS	pmagpy-1.57b	125	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		9.804e-09		5.164e-03
This study	LP-HYS	pmagpy-1.57b	126	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		8.172e-09		1.178e-03
This study	LP-HYS	pmagpy-1.57b	127	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		6.144e-09		-2.833e-03
This study	LP-HYS	pmagpy-1.57b	128	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		4.155e-09		-6.835e-03
This study	LP-HYS	pmagpy-1.57b	129	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		2.295e-09		-1.083e-02
This study	LP-HYS	pmagpy-1.57b	130	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		4.031e-10		-1.484e-02
This study	LP-HYS	pmagpy-1.57b	131	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-1.439e-09		-1.883e-02
This study	LP-HYS	pmagpy-1.57b	132	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.073e-09		-2.282e-02
This study	LP-HYS	pmagpy-1.57b	133	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-4.668e-09		-2.683e-02
This study	LP-HYS	pmagpy-1.57b	134	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-6.200e-09		-3.084e-02
This study	LP-HYS	pmagpy-1.57b	135	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-7.595e-09		-3.485e-02
This study	LP-HYS	pmagpy-1.57b	136	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-8.977e-09		-3.883e-02
This study	LP-HYS	pmagpy-1.57b	137	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-1.023e-08		-4.284e-02
This study	LP-HYS	pmagpy-1.57b	138	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-1.144e-08		-4.684e-02
This study	LP-HYS	pmagpy-1.57b	139	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-1.269e-08		-5.084e-02
This study	LP-HYS	pmagpy-1.57b	140	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-1.384e-08		-5.485e-02
This study	LP-HYS	pmagpy-1.57b	141	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-1.484e-08		-5.885e-02
This study	LP-HYS	pmagpy-1.57b	142	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-1.594e-08		-6.283e-02
This study	LP-HYS	pmagpy-1.57b	143	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-1.696e-08		-6.684e-02
This study	LP-HYS	pmagpy-1.57b	144	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-1.793e-08		-7.083e-02
This study	LP-HYS	pmagpy-1.57b	145	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-1.884e-08		-7.481e-02
This study	LP-HYS	pmagpy-1.57b	146	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-1.972e-08		-7.882e-02
This study	LP-HYS	pmagpy-1.57b	147	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.055e-08		-8.282e-02
This study	LP-HYS	pmagpy-1.57b	148	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.132e-08		-8.681e-02
This study	LP-HYS	pmagpy-1.57b	149	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.208e-08		-9.081e-02
This study	LP-HYS	pmagpy-1.57b	150	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.283e-08		-9.482e-02
This study	LP-HYS	pmagpy-1.57b	151	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.355e-08		-9.881e-02
This study	LP-HYS	pmagpy-1.57b	152	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.408e-08		-1.028e-01
This study	LP-HYS	pmagpy-1.57b	153	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.471e-08		-1.068e-01
This study	LP-HYS	pmagpy-1.57b	154	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.532e-08		-1.108e-01
This study	LP-HYS	pmagpy-1.57b	155	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.594e-08		-1.148e-01
This study	LP-HYS	pmagpy-1.57b	156	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.644e-08		-1.188e-01
This study	LP-HYS	pmagpy-1.57b	157	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.695e-08		-1.228e-01
This study	LP-HYS	pmagpy-1.57b	158	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.743e-08		-1.268e-01
This study	LP-HYS	pmagpy-1.57b	159	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.787e-08		-1.308e-01
This study	LP-HYS	pmagpy-1.57b	160	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.834e-08		-1.348e-01
This study	LP-HYS	pmagpy-1.57b	161	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.877e-08		-1.388e-01
This study	LP-HYS	pmagpy-1.57b	162	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.913e-08		-1.428e-01
This study	LP-HYS	pmagpy-1.57b	163	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.954e-08		-1.468e-01
This study	LP-HYS	pmagpy-1.57b	164	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-2.986e-08		-1.508e-01
This study	LP-HYS	pmagpy-1.57b	165	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.014e-08		-1.548e-01
This study	LP-HYS	pmagpy-1.57b	166	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.045e-08		-1.588e-01
This study	LP-HYS	pmagpy-1.57b	167	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.077e-08		-1.628e-01
This study	LP-HYS	pmagpy-1.57b	168	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.110e-08		-1.668e-01
This study	LP-HYS	pmagpy-1.57b	169	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.135e-08		-1.708e-01
This study	LP-HYS	pmagpy-1.57b	170	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.157e-08		-1.748e-01
This study	LP-HYS	pmagpy-1.57b	171	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.181e-08		-1.788e-01
This study	LP-HYS	pmagpy-1.57b	172	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.205e-08		-1.828e-01
This study	LP-HYS	pmagpy-1.57b	173	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.225e-08		-1.868e-01
This study	LP-HYS	pmagpy-1.57b	174	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.241e-08		-1.908e-01
This study	LP-HYS	pmagpy-1.57b	175	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.263e-08		-1.948e-01
This study	LP-HYS	pmagpy-1.57b	176	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.284e-08		-1.988e-01
This study	LP-HYS	pmagpy-1.57b	177	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.297e-08		-2.028e-01
This study	LP-HYS	pmagpy-1.57b	178	u	273		273	SIO-Maud	unknown	g	m428_loop:LP-HYS		m428_loop		-3.319e-08		-2.068e-01
